zip,data
28763,1
28768,1
28782,1
28785,1
28786,1
28791,147
28803,1
28804,1
28813,1
28814,1
28906,1
29016,1
29020,1
29036,2
29054,2
29063,3
29072,119
29073,1
29101,90
29135,1
29154,19
29170,1
29172,1
29210,99
29296,1
29303,168
29349,1
29369,1
29406,111
29414,3
29466,19
29470,7
29485,1
29492,4
29505,1
29574,1
29575,237
29576,1
29577,5
29607,4
29625,1
29626,72
29631,1
29640,1
29646,1
29670,1
29671,1
29672,19
29673,28
29678,25
29680,1
29681,2
29686,1
29690,1
29693,1
29697,30
29706,1
29708,1
29732,1
29801,1
29803,1
29812,2
29841,1
29909,3
29920,1
29928,1
30004,2
30008,19
30012,1
30014,1
30016,2
30017,11
30019,2
30022,3
30024,2
30028,1
30040,2
30041,73
30043,3
30046,1
30047,74
30060,1
30062,131
30064,1
30066,1
30075,1
30076,1
30084,89
30087,1
30094,82
30096,2
30101,2
30102,1
30108,1
30115,23
30116,1
30117,1
30120,1
30125,1
30126,1
30127,1
30134,1
30135,1
30141,2
30143,2
30144,1
30152,1
30165,1
30168,1
30185,1
30188,124
30215,1
30233,1
30236,113
30248,1
30252,1
30253,1
30257,1
30263,3
30269,1
30289,1
30292,2
30305,1
30315,1
30345,1
30359,1
30360,1
30461,19
30506,1
30507,1
30512,2
30513,2
30516,1
30518,23
30519,49
30528,2
30533,5
30534,3
30540,1
30546,2
30553,2
30557,2
30559,1
30560,1
30566,175
30568,1
30575,1
30577,1
30582,1
30606,1
30628,1
30650,1
30680,2
30705,1
30711,1
30721,28
30736,91
30813,2
30907,1
30909,1
31005,1
31008,381
31009,1
31021,3
31024,1
31050,1
31061,2
31088,1
31206,25
31220,62
31308,1
31322,85
31324,84
31405,1
31501,1
31503,6
31516,1
31548,2
31602,1
31620,1
31636,54
31639,1
31707,1
31804,1
31904,3
31907,39
31909,1
32024,80
32025,1
32034,1
32038,1
32043,56
32052,2
32054,2
32064,1
32065,2
32073,149
32080,2
32082,1
32084,266
32086,2
32092,2
32094,1
32096,1
32097,2
32112,1
32118,1
32127,27
32137,2
32141,2
32159,2
32162,6
32164,1
32168,3
32174,31
32175,1
32177,1
32202,1
32207,1
32210,18
32218,318
32220,1
32223,1
32225,1
32226,1
32246,2
32250,1
32257,3
32259,1
32309,3
32312,1
32317,1
32343,109
32404,69
32405,108
32408,8
32413,1
32435,280
32439,1
32443,1
32444,1
32455,1
32457,1
32505,3
32507,2
32513,2
32514,1
32526,2
32530,1
32534,3
32536,1
32539,2
32563,80
32566,3
32567,1
32569,1
32570,4
32578,1
32579,1
32605,2
32606,1
32609,25
32615,46
32618,1
32626,1
32643,25
32653,1
32667,1
32668,1
32669,1
32703,22
32708,2
32709,1
32712,1
32714,2
32720,3
32722,1
32724,1
32725,2
32726,2
32730,1
32736,2
32744,1
32750,1
32762,1
32765,5
32771,33
32776,1
32780,50
32789,12
32803,1
32804,1
32806,1
32807,1
32808,17
32817,3
32818,1
32825,1
32827,1
32828,3
32833,1
32835,1
32836,1
32839,1
32904,27
32907,2
32926,126
32927,1
32934,2
32937,2
32940,8
32950,1
32953,1
32958,1
32963,1
32966,2
32967,1
32968,1
33012,1
33013,1
33015,1
33020,1
33021,1
33024,1
33028,1
33029,1
33030,2
33033,1
33035,1
33037,10
33040,1
33062,2
33064,1
33068,1
33070,2
33071,1
33134,1
33142,1
33144,1
33155,2
33166,1
33170,1
33175,1
33176,1
33180,1
33183,2
33187,1
33189,1
33265,1
33309,1
33312,135
33314,2
33315,1
33317,1
33323,1
33327,1
33328,2
33334,1
33346,1
33404,9
33407,93
33410,12
33412,2
33414,1
33425,1
33431,1
33435,1
33436,1
33445,1
33450,1
33455,57
33460,1
33462,1
33463,1
33467,2
33469,1
33470,2
33477,1
33486,1
33510,1
33523,25
33525,5
33526,3
33527,429
33540,1
33541,1
33542,1
33544,1
33548,1
33549,2
33556,1
33563,2
33566,96
33569,1
33572,1
33579,1
33584,535
33594,1
33596,2
33597,4
33605,1
33607,1
33610,14
33614,2
33615,1
33619,18
33621,1
33637,1
33647,2
33703,1
33709,1
33710,1
33713,2
33759,18
33762,19
33764,70
33765,1
33771,26
33772,1
33773,1
33776,3
33785,1
33801,11
33805,1
33809,596
33810,5
33813,2
33825,2
33830,203
33834,3
33837,3
33850,13
33853,1
33859,6
33868,2
33870,17
33875,2
33881,1
33884,18
33890,1
33898,2
