zip,data
17268,1
17307,1
17315,1
17319,1
17320,1
17325,20
17339,17
17363,1
17402,33
17406,1
17408,1
17519,1
17540,3
17545,179
17552,1
17557,8
17560,0
17566,1
17601,24
17602,1
17603,1
17701,32
17801,0
17815,2
17821,2
17847,1
17851,0
17872,1
17922,1
17961,89
18018,2
18020,1
18032,1
18036,345
18045,1
18054,1
18055,1
18070,9
18076,1
18080,1
18092,1
18103,0
18104,1
18337,1
18352,1
18360,1
18424,1
18428,1
18436,1
18466,2
18612,1
18621,1
18661,1
18702,284
18812,1
18840,1
18901,20
18902,1
18914,1
18938,1
18940,1
18951,1
18954,2
18969,1
18974,1
18976,1
19001,2
19007,1
19008,2
19018,1
19020,188
19027,1
19030,1
19038,2
19046,1
19047,161
19058,1
19063,114
19078,1
19082,156
19087,1
19090,1
19111,1
19121,2
19129,2
19131,1
19134,1
19146,1
19147,1
19154,1
19301,1
19317,98
19320,1
19335,5
19344,395
19355,45
19363,1
19365,1
19372,1
19380,1
19382,4
19390,4
19425,55
19440,3
19462,1
19464,1
19465,2
19468,1
19473,1
19492,54
19504,1
19506,1
19508,1
19512,241
19525,1
19534,1
19540,1
19541,1
19549,75
19605,2
19609,1
19610,2
19701,1
19703,1
19707,2
19709,3
19713,1
19720,2
19805,1
19809,0
19901,132
19904,1
19939,1
19941,1
19956,1
19973,3
19975,1
20001,2
20002,2
20003,0
20010,1
20015,2
20019,1
20020,1
20032,1
20105,1
20109,1
20110,175
20111,1
20112,3
20115,1
20120,1
20121,1
20132,2
20136,2
20141,1
20143,1
20148,4
20151,2
20152,1
20155,3
20164,3
20165,2
20166,15
20169,2
20170,2
20171,2
20175,1
20176,3
20182,1
20186,22
20187,1
20191,2
20194,2
20197,1
20198,1
20319,1
20601,2
20603,3
20619,1
20622,1
20639,1
20646,3
20650,2
20657,2
20692,1
20705,1
20707,1
20708,28
20711,1
20721,1
20723,1
20724,1
20733,1
20735,2
20737,1
20740,2
20744,3
20745,1
20750,1
20754,1
20764,1
20765,1
20772,1
20774,4
20777,1
20778,1
20785,1
20794,30
20832,3
20833,1
20841,1
20842,0
20850,2
20852,121
20854,1
20866,1
20872,1
20874,2
20877,1
20878,2
20879,184
20895,1
20904,1
20905,1
20906,1
20910,4
21014,3
21015,3
21030,1
21035,2
21037,2
21042,5
21043,1
21044,2
21046,2
21047,1
21054,52
21060,41
21061,1
21074,1
21078,2
21084,2
21085,2
21108,3
21113,1
21114,3
21117,0
21122,2
21146,1
21157,2
21158,1
21204,2
21207,1
21221,1
21224,2
21227,1
21228,2
21234,1
21236,243
21286,1
21401,1
21403,2
21502,64
21532,1
21541,40
21557,3
21562,1
21601,7
21620,2
21625,1
21629,1
21643,1
21701,3
21702,2
21703,1
21704,119
21718,1
21738,1
21742,1
21757,1
21769,1
21771,1
21784,1
21788,2
21794,1
21795,1
21801,221
21813,1
21826,1
21842,1
21901,2
22003,1
22025,1
22030,3
22031,101
22032,1
22033,2
22042,1
22043,2
22046,123
22066,1
22079,1
22101,1
22102,2
22150,1
22151,0
22152,1
22180,2
22183,1
22191,2
22192,94
22193,2
22201,2
22202,2
22203,1
22206,1
22207,2
22302,1
22304,1
22309,2
22312,1
22314,1
22401,1
22405,4
22406,1
22407,8
22408,111
22554,2
22556,3
22560,0
22567,133
22601,16
22602,56
22620,1
22664,1
22701,2
22716,1
22737,3
22742,1
22801,1
22810,1
22835,1
22903,2
22911,2
22942,1
22960,80
22963,2
22974,1
22980,1
23015,1
23024,2
23059,66
23060,1
23072,1
23093,2
23111,4
23112,1
23113,2
23116,1
23117,1
23140,1
23141,1
23185,2
23188,3
23220,1
23221,2
23226,1
23227,1
23228,1
23231,1
23233,1
23234,1
23235,125
23238,1
23294,1
23310,1
23320,18
23321,2
23322,9
23323,0
23420,1
23435,1
23436,1
23451,1
23452,2
23453,1
23454,1
23455,1
23456,7
23461,1
23462,78
23501,1
23503,2
23505,2
23508,1
23509,87
23510,4
23513,1
23518,26
23607,1
23608,3
23661,1
23662,1
23665,1
23666,1
23692,287
23701,3
23703,2
23704,70
23707,1
23803,1
23805,1
23831,2
23860,1
23875,294
23963,1
24015,1
24018,1
24019,2
24065,1
24073,2
24087,1
24141,2
24149,1
24151,2
24153,110
24179,3
24201,68
24210,0
24211,1
24226,1
24301,1
24354,1
24382,88
24401,2
24450,1
24477,1
24483,1
24501,168
24502,64
24504,1
24521,1
24523,1
24528,0
24541,17
24551,2
24553,1
24558,1
24574,1
24605,55
24701,67
24970,1
25071,3
25245,1
25304,1
25309,113
25313,57
25387,1
25404,0
25405,23
25411,189
25419,2
25427,1
25430,0
25508,0
25510,1
25526,1
25560,2
25651,0
25701,88
25703,1
25801,210
25882,0
26003,63
26035,0
26041,1
26150,1
26201,2
26241,1
26301,164
26330,2
26337,0
26452,1
26501,1
26559,1
26726,0
26743,1
26757,318
26836,1
26847,104
27012,1
27013,1
27020,1
27028,2
27030,33
27040,2
27041,0
27043,1
27048,1
27050,1
27055,1
27101,1
27103,289
27105,56
27106,2
27107,1
27205,1
27214,1
27215,3
27217,1
27235,0
27243,0
27253,1
27262,4
27263,1
27265,2
27278,1
27282,1
27284,4
27288,1
27295,89
27302,1
27310,1
27312,1
27313,2
27320,1
27330,26
27332,2
27350,1
27358,1
27360,1
27370,1
27401,59
27403,1
27405,29
27406,139
27407,2
27409,59
27410,4
27502,0
27513,1
27516,1
27518,1
27519,1
27520,1
27526,1
27529,131
27530,19
27534,1
27537,149
27539,1
27540,1
27541,2
27542,1
27549,2
27560,1
27576,1
27577,2
27587,68
27591,1
27596,1
27603,293
27604,1
27605,1
27606,1
27609,0
27610,1
27613,1
27614,2
27616,185
27617,2
27703,1
27705,1
27707,77
27712,2
27804,440
27829,1
27834,132
27858,22
27870,2
27882,0
27892,2
27893,50
27896,1
27909,4
27921,1
27932,0
27941,44
27958,1
28001,100
28012,39
28021,3
28023,0
28025,4
28027,308
28031,6
28034,2
28036,0
28037,2
28052,1
28056,186
28073,1
28075,2
28078,2
28079,1
28080,42
28090,1
28097,2
28098,90
28104,1
28105,306
28106,1
28110,21
28115,2
28117,137
28125,1
28127,1
28134,211
28146,2
28147,39
28152,39
28164,1
28166,1
28173,5
28202,1
28203,1
28208,225
28210,1
28213,1
28214,4
28215,1
28216,1
28217,1
28226,2
28269,1
28273,79
28277,5
28278,1
28303,46
28306,2
28307,1
28310,1
28311,1
28314,2
28315,1
28323,0
28326,1
28327,1
28348,2
28349,0
28356,1
28357,1
28374,1
28376,3
28379,144
28387,2
28390,3
28391,1
28394,1
28405,0
28409,1
28411,7
28412,1
28443,1
28449,1
28451,2
28457,0
28459,1
28460,1
28466,1
28470,1
28501,1
28512,1
28516,0
28540,29
28546,1
28554,1
28560,2
28572,1
28574,1
28580,1
28584,3
28590,2
28601,73
28602,23
28607,2
28619,11
28625,2
28630,2
28634,1
28638,1
28645,1
28651,1
28655,1
28657,1
28659,1
28665,0
28675,1
28677,174
28681,11
28687,1
28697,5
28701,2
28702,1
28704,19
28713,1
28714,0
28715,1
28716,1
28732,1
28771,1
28772,1
28786,37
28791,2
28792,2
28801,1
28803,432
28805,85
28806,1
28904,1
28906,2
29016,2
29045,3
29054,1
29063,1
29069,1
29070,2
29072,107
29073,1
29118,1
29150,46
29164,1
29169,23
29170,3
29180,0
29201,1
29209,1
29210,1
29223,1
29290,1
29302,1
29303,1
29316,41
29322,1
29323,76
29325,39
29334,1
29341,1
29349,2
29356,1
29376,1
29403,1
29405,64
29407,2
29412,5
29414,3
29430,1
29445,7
29456,1
29461,3
29464,1
29466,1
29483,4
29485,1
29492,1
29505,2
29506,2
29510,1
29526,1
29527,1
29541,1
29566,0
29569,1
29572,1
29575,1
29576,3
29577,1
29579,41
29581,1
29588,3
29601,1
29605,2
29606,1
29607,2
29609,0
29615,266
29617,1
29621,2
29624,18
29626,1
29640,1
29642,1
29650,33
29651,3
29654,1
29662,25
29668,1
29673,1
29678,251
29680,2
29681,4
29690,1
29693,2
29697,1
29706,2
29707,1
29708,2
29710,1
29715,2
29720,111
29730,163
29732,4
29745,2
29801,1
29803,2
29860,1
29902,2
29906,2
29907,1
29910,3
29927,1
29936,1
30004,9
30009,2
30011,1
30016,3
30017,1
30019,2
30022,4
30024,5
30025,2
30028,1
30030,1
30032,2
30033,3
30035,2
30039,3
30040,21
30041,5
30043,147
30044,2
30045,68
30046,290
30047,156
30052,23
30054,1
30055,1
30060,1168
30062,129
30064,5
30066,16
30067,3
30068,1
30071,74
30075,7
30076,220
30078,2
30080,1
30082,2
30083,2
30087,1
30092,2
30093,1
30094,3112
30096,6
30097,3
30101,2
30102,5
30103,2
30107,1
30110,0
30114,199
30115,5
30116,1
30120,12
30121,94
30122,290
30126,4
30127,0
30132,4
30134,287
30135,7
30141,29
30143,39
30144,2
30145,3
30152,19
30157,3
30165,97
30170,79
30175,1
30180,2
30187,1
30188,5
30189,4
30204,2
30213,1
30214,148
30215,2
30223,1
30224,1
30228,4
30230,1
30233,1
30236,164
30238,2
30240,32
30248,1
30252,3
30253,37
30263,108
30265,3
30268,1
30271,1
30276,2
30277,2
30290,1
30292,1
30294,1
30297,1
30305,3
30306,2
30309,2
30317,1
30318,1
30319,1
30324,1
30327,1
30329,1
30336,0
30338,1
30339,1
30340,3
30341,1
30342,3
30345,0
30350,1
30417,1
30420,3
30461,55
30473,1
30501,1
30504,362
30506,5
30512,153
30513,6
30518,3
30519,4
30523,1
30525,1
30527,1
30528,2
30529,1
30530,0
30531,2
30533,55
30534,2
30537,2
30540,1
30546,1
30548,4
30549,2
30555,1
30567,1
30571,1
30577,162
30606,1
30620,1
30621,1
30622,303
30628,1
30656,3
30668,1
30680,2
30705,1
30707,1
30720,90
30721,2
30730,1
30736,126
30740,1
30809,2
30813,1
30815,1
30901,1
30905,1
30906,1
30907,1
30909,1
31008,143
31015,0
31016,1
31023,1
31032,1
31036,2
31040,1
31047,3
31061,1
31064,1
31087,1
31088,1
31093,2
31210,83
31216,1
31220,0
31312,2
31315,2
31316,1
31322,2
31324,1
31326,1
31404,2
31405,32
31406,2
31408,69
31419,80
31503,1
31510,0
31520,64
31533,0
31539,3
31546,8
31555,1
31558,1
31601,1
31602,11
31605,2
31632,1
31636,1
31709,1
31719,1
31721,46
31763,1
31773,3
31792,0
31793,83
31794,37
31808,1
31820,1
31904,4
31906,1
31909,30
32003,1
32024,1
32033,0
32034,1
32041,1
32043,2
32050,1
32062,1
32065,2
32068,6
32073,123
32080,2
32081,0
32082,1
32084,232
32086,20
32092,4
32095,1
32097,2
32114,112
32117,94
32118,1
32119,2
32127,21
32128,2
32131,1
32136,2
32137,3
32141,2
32145,0
32148,1
32159,1
32162,3
32168,27
32173,1
32174,5
32176,6
32177,36
32180,1
32181,1
32204,1
32205,1
32206,1
32207,1
32210,6
32211,1
32212,1
32216,4
32217,2
32218,5
32223,2
32224,3
32225,48
32226,1
32244,2
32246,258
32256,113
32257,2
32259,3
32301,2
32303,202
32304,1
32308,1
32309,3
32312,1
32327,2
32329,1
32347,1
32401,1
32404,1
32407,1
32409,1
32413,105
32426,1
32439,1
32502,2
32505,157
32506,2
32507,2
32514,1
32526,2
32533,34
32534,1
32536,4
32539,1
32541,1
32542,1
32547,44
32548,30
32550,1
32566,3
32570,1
32571,3
32578,2
32583,2
32591,1
32605,3
32606,130
32607,1
32608,4
32609,3
32615,26
32618,1
32621,1
32640,1
32641,1
32656,1
32693,1
32701,3
32703,1
32707,1
32708,3
32713,5
32714,1
32720,212
32724,1
32725,3
32726,221
32732,0
32736,1
32738,3
32746,4
32747,1
32750,108
32751,1
32754,32
32757,1
32763,1
32765,3
32766,2
32771,272
32773,2
32776,0
32778,1
32779,4
32780,6
32789,1
32790,1
32792,2
32795,1
32796,1
32801,1
32803,2
32804,245
32805,48
32807,2
32809,3
32810,1
32811,2
32812,3
32814,0
32817,199
32818,1
32819,100
32821,2
32822,1
32825,45
32826,1
32827,1
32829,1
32832,2
32833,1
32835,1
32836,1
32837,4
32901,142
32903,2
32904,2
32905,367
32907,1
32908,1
32909,1
32920,2
32922,130
32926,1
32927,18
32931,3
32934,3
32935,4
32937,1
32940,2
32949,20
32951,2
32952,1
32953,1
32955,1
32958,1
32962,1
32966,1
32967,1
32968,2
32976,1
33004,2
33009,2
33010,2
33012,1
33013,2
33016,130
33018,1
33019,1
33020,3
33021,20
33023,3
33024,238
33025,2
33026,3
33027,2
33028,1
33029,1
33035,1
33037,102
33040,3
33042,1
33045,2
33054,24
33056,1
33060,3
33062,12
33063,2
33064,299
33065,1
33067,1
33069,5
33070,1
33071,2
33073,1
33076,1
33111,58
33122,1
33125,1
33126,206
33129,2
33130,2
33131,2
33133,34
33136,16
33137,25
33138,3
33139,3
33141,2
33142,0
33143,1
33146,1
33147,1
33149,1
33150,1
33152,1
33154,1
33155,294
33156,3
33157,1
33158,1
33160,3
33161,3
33165,1
33166,29
33169,119
33170,238
33172,0
33173,2
33174,1
33176,3
33177,2
33178,45
33179,1
33180,1
33181,1
33182,1
33185,1
33186,6
33189,2
33190,2
33193,1
33196,2
33231,1
33266,1
33301,3
33304,1
33306,2
33308,1
33309,6
33311,545
33312,84
33314,14
33315,3
33316,44
33317,38
33321,2
33322,1
33323,1
33324,31
33325,48
33326,2
33328,2
33330,1
33331,128
33351,4
33401,2
33405,1
33408,1
33409,328
33410,3
33411,5
33412,3
33414,2
33418,3
33425,1
33426,2
33428,3
33431,2
33432,4
33433,3
33434,1
33435,2
33436,2
33440,1
33441,3
33442,1
33445,3
33457,1
33458,1
33461,1
33462,9
33463,1
33467,2
33468,1
33469,1
33470,4
33472,1
33478,1
33484,0
33487,0
33496,1
33509,1
33511,3
33539,1
33541,1
33542,2
33543,162
33544,2
33547,2
33548,1
33549,1
33556,82
33558,3
33567,1
33569,3
33572,1
33573,1
33578,3
33594,2
33596,1
33598,1
33601,1
33602,2
33609,2
33613,267
33614,95
33615,2
33617,3
33618,2
33619,327
33624,2
33626,2
33635,2
33637,1
33647,1
33675,1
33701,2
33702,144
33704,1
33706,3
33707,2
33709,2
33710,1
33714,118
33716,1
33755,1
33758,1
33759,1
33761,322
33762,4
33764,298
33767,2
33771,1
33772,1
33773,29
33774,1
33777,3
33778,41
33781,107
33782,10
33785,1
33786,1
33801,215
33803,10
33805,349
33806,1
33809,2
33811,1
33812,2
33813,1
33823,2
33850,16
33852,40
33853,260
33868,1
33870,1
33880,1
33881,2
33903,1
33904,1
33905,1
33907,254
33908,41
33909,10
33912,5
33914,3
33916,1
33917,3
33919,1
33920,1
33931,1
33936,1
33947,2
33950,185
33966,82
33967,2
33974,1
33980,1
33991,1
33993,0
34104,1
34105,1
34108,1
34109,271
34110,1
34116,1
34117,2
34120,1
34145,1
34203,1
34205,1
34208,0
34209,1
34212,2
34219,2
34221,1
34222,1
34223,1
34231,2
34232,2
34233,1
34234,136
34235,2
34237,2
34239,1
34240,1
34241,1
34285,1
34287,1
34288,0
34292,3
34293,1
34326,1
34420,1
34421,1
34428,1
34436,1
34442,2
34446,2
34448,185
34452,1
34461,124
34470,1
34471,1
34475,297
34479,1
34480,54
34491,1
34601,1
34604,1
34606,86
34608,2
34609,1
34611,1
34613,35
34637,2
34638,2
34639,2
34652,139
34653,4
34654,2
34655,2
34667,2
34668,200
34677,0
34680,1
34681,1
34683,1
34684,1
34685,2
34691,1
34711,18
34715,17
34736,2
34737,1
34741,120
34744,396
34748,110
34758,1
34761,3
34769,1
34785,63
34786,2
34787,114
34788,2
34953,5
34957,2
34972,129
34974,1
34982,63
34983,1
34984,2
34985,0
34986,2
34990,2
34994,279
34995,1
34996,1
34997,63
35004,2
35007,2
35010,1
35014,1
35016,3
35020,100
35022,1
35031,0
35040,1
35063,1
35071,1
35077,2
35080,3
35096,1
35111,1
35116,1
35117,1
35120,5
35124,87
35128,3
35131,1
35133,1
35148,1
35150,1
35173,115
35180,1
35209,173
35210,35
35211,1
35213,2
35215,1
35216,1
35224,1
35233,8
35242,3
35244,1
35292,1
35461,1
35466,4
35473,1
35504,1
35565,1
35570,79
35594,1
35601,75
35620,1
35630,142
35633,0
35640,2
35652,1
35661,1
35673,1
35674,44
35749,1
35750,1
35756,1
35757,1
35758,2
35761,1
35763,1
35765,1
35769,3
35801,1
35802,1
35803,115
35805,1
35806,2
35811,1
35901,1
35904,2
35950,1
35952,6
35957,1
35960,1
35961,2
35967,1
35983,1
36054,1
36092,2
36107,0
36108,1
36109,1
36116,1
36117,16
36203,1
36206,1
36207,1
36251,0
36263,1
36268,109
36272,1
36323,1
36362,2
36421,1
36446,1
36456,0
36507,0
36522,1
36526,457
36532,4
36542,96
36571,1
36575,1
36576,1
36611,1
